Order ID,Product,Category,Quantity Ordered,Price Each,Order Date,City,Region
1056,Apple Airpods Headphones,Accessories,2,150.00,2023-06-18,Dallas,South
1057,AA Batteries (4-pack),Accessories,4,3.84,2023-06-21,Portland,West
1058,ThinkPad Laptop,Electronics,1,999.99,2023-06-24,Atlanta,South
1059,Wired Headphones,Accessories,3,11.99,2023-06-27,Los Angeles,West
1060,27in FHD Monitor,Monitors,1,149.99,2023-06-30,Chicago,East
1061,iPhone,Electronics,4,700.00,2023-07-04,San Francisco,West
1062,Macbook Pro Laptop,Electronics,2,1700.00,2023-07-07,Austin,South
1063,Google Phone,Electronics,3,600.00,2023-07-10,New York City,East
1064,Bose SoundSport Headphones,Accessories,2,99.99,2023-07-13,Seattle,West
1065,27in 4K Gaming Monitor,Monitors,2,389.99,2023-07-16,Boston,East
1066,USB-C Charging Cable,Accessories,4,11.95,2023-07-19,Dallas,South
1067,AA Batteries (4-pack),Accessories,5,3.84,2023-07-22,Portland,West
1068,ThinkPad Laptop,Electronics,2,999.99,2023-07-25,Atlanta,South
1069,Apple Airpods Headphones,Accessories,3,150.00,2023-07-28,Los Angeles,West
1070,34in Ultrawide Monitor,Monitors,1,379.99,2023-07-31,Chicago,East
1071,iPhone,Electronics,3,700.00,2023-08-03,San Francisco,West
1072,Macbook Pro Laptop,Electronics,1,1700.00,2023-08-06,Austin,South
1073,Google Phone,Electronics,2,600.00,2023-08-09,New York City,East
1074,USB-C Charging Cable,Accessories,3,11.95,2023-08-12,Seattle,West
1075,27in FHD Monitor,Monitors,2,149.99,2023-08-15,Boston,East
1076,Apple Airpods Headphones,Accessories,2,150.00,2023-08-18,Dallas,South
1077,AA Batteries (4-pack),Accessories,4,3.84,2023-08-21,Portland,West
1078,ThinkPad Laptop,Electronics,1,999.99,2023-08-24,Atlanta,South
1079,Bose SoundSport Headphones,Accessories,3,99.99,2023-08-27,Los Angeles,West
1080,27in 4K Gaming Monitor,Monitors,1,389.99,2023-08-30,Chicago,East
1081,iPhone,Electronics,4,700.00,2023-09-03,San Francisco,West
1082,Macbook Pro Laptop,Electronics,2,1700.00,2023-09-06,Austin,South
1083,Google Phone,Electronics,2,600.00,2023-09-09,New York City,East
1084,USB-C Charging Cable,Accessories,5,11.95,2023-09-12,Seattle,West
1085,34in Ultrawide Monitor,Monitors,2,379.99,2023-09-15,Boston,East
1086,Apple Airpods Headphones,Accessories,3,150.00,2023-09-18,Dallas,South
1087,AA Batteries (4-pack),Accessories,3,3.84,2023-09-21,Portland,West
1088,ThinkPad Laptop,Electronics,2,999.99,2023-09-24,Atlanta,South
1089,Wired Headphones,Accessories,4,11.99,2023-09-27,Los Angeles,West
1090,27in FHD Monitor,Monitors,1,149.99,2023-09-30,Chicago,East
1091,iPhone,Electronics,5,700.00,2023-10-04,San Francisco,West
1092,Macbook Pro Laptop,Electronics,2,1700.00,2023-10-07,Austin,South
1093,Google Phone,Electronics,3,600.00,2023-10-10,New York City,East
1094,Bose SoundSport Headphones,Accessories,3,99.99,2023-10-13,Seattle,West
1095,27in 4K Gaming Monitor,Monitors,3,389.99,2023-10-16,Boston,East
1096,USB-C Charging Cable,Accessories,4,11.95,2023-10-19,Dallas,South
1097,AA Batteries (4-pack),Accessories,5,3.84,2023-10-22,Portland,West
1098,ThinkPad Laptop,Electronics,2,999.99,2023-10-25,Atlanta,South
1099,Apple Airpods Headphones,Accessories,4,150.00,2023-10-28,Los Angeles,West
1100,34in Ultrawide Monitor,Monitors,2,379.99,2023-10-31,Chicago,East
1101,iPhone,Electronics,5,700.00,2023-11-03,San Francisco,West
1102,Macbook Pro Laptop,Electronics,3,1700.00,2023-11-06,Austin,South
1103,Google Phone,Electronics,3,600.00,2023-11-09,New York City,East
1104,USB-C Charging Cable,Accessories,5,11.95,2023-11-12,Seattle,West
1105,27in FHD Monitor,Monitors,3,149.99,2023-11-15,Boston,East
1106,Apple Airpods Headphones,Accessories,4,150.00,2023-11-18,Dallas,South
1107,AA Batteries (4-pack),Accessories,6,3.84,2023-11-21,Portland,West
1108,ThinkPad Laptop,Electronics,2,999.99,2023-11-24,Atlanta,South
1109,Bose SoundSport Headphones,Accessories,3,99.99,2023-11-27,Los Angeles,West
1110,27in 4K Gaming Monitor,Monitors,2,389.99,2023-11-30,Chicago,East
1111,iPhone,Electronics,6,700.00,2023-12-03,San Francisco,West
1112,Macbook Pro Laptop,Electronics,3,1700.00,2023-12-06,Austin,South
1113,Google Phone,Electronics,4,600.00,2023-12-09,New York City,East
1114,USB-C Charging Cable,Accessories,6,11.95,2023-12-12,Seattle,West
1115,34in Ultrawide Monitor,Monitors,3,379.99,2023-12-15,Boston,East
1116,Apple Airpods Headphones,Accessories,5,150.00,2023-12-18,Dallas,South
1117,AA Batteries (4-pack),Accessories,7,3.84,2023-12-21,Portland,West
1118,ThinkPad Laptop,Electronics,3,999.99,2023-12-24,Atlanta,South
1119,Wired Headphones,Accessories,4,11.99,2023-12-27,Los Angeles,West
1120,27in 4K Gaming Monitor,Monitors,3,389.99,2023-12-30,Chicago,East
